expected	question
answer	Кто такая Валька Заварка?
answer	Где живёт Валька Заварка?
answer	Что такое шалал-рай для милых?
answer	Для чего нужен шалал-рай для милых?
answer	Кто такая Игруля Медведева?
answer	Кто спасал Игрулю Медведеву из лап Змея?
answer	Кто такой крестный губер?
answer	Кто такой Аркадий-валенок?
unknown	Кто такой Топор Рыжий?
unknown	Кто такой Топор Рыжий и чем известен?
unknown	Что такое шалал-рай для милых? (после удаления)
unknown	Как открыть вход в шалал-рай для милых? (после удаления)








