ts,question,expected,found,chunks_found,top_sources,top_entities,pass
2026-01-13T14:33:00,Кто такая Валька Заварка?,answer,1,1,knowledge_base/characters/Валька Заварка.md,Валька Заварка,1
2026-01-13T14:33:02,Где живёт Валька Заварка?,answer,1,1,knowledge_base/characters/Валька Заварка.md,Валька Заварка,1
2026-01-13T14:33:04,Что такое шалал-рай для милых?,answer,1,1,knowledge_base/locations/шалал-рай для милых.md,шалал-рай для милых,1
2026-01-13T14:33:06,Для чего нужен шалал-рай для милых?,answer,1,1,knowledge_base/locations/шалал-рай для милых.md,шалал-рай для милых,1
2026-01-13T14:33:06,Кто такая Игруля Медведева?,answer,1,3,knowledge_base/locations/мир толи рядом толи где.md;knowledge_base/characters/Антон Подольский.md;knowledge_base/locations/мир толи рядом толи где.md,мир толи рядом толи где;Антон Подольский;мир толи рядом толи где,1
2026-01-13T14:33:08,Кто спасал Игрулю Медведеву из лап Змея?,answer,1,2,knowledge_base/characters/Антон Подольский.md;knowledge_base/locations/мир толи рядом толи где.md,Антон Подольский;мир толи рядом толи где,1
2026-01-13T14:33:10,Кто такой крестный губер?,answer,1,1,knowledge_base/characters/крестный губер.md,крестный губер,1
2026-01-13T14:33:13,Кто такой Аркадий-валенок?,answer,1,1,knowledge_base/characters/Аркадий-валенок.md,Аркадий-валенок,1
2026-01-13T14:33:16,Кто такой Топор Рыжий?,unknown,1,2,knowledge_base/characters/Топор Рыжий.md;knowledge_base/characters/Топор Рыжий.md,Топор Рыжий;Топор Рыжий,0
2026-01-13T14:33:19,Кто такой Топор Рыжий и чем известен?,unknown,1,2,knowledge_base/characters/Топор Рыжий.md;knowledge_base/characters/Топор Рыжий.md,Топор Рыжий;Топор Рыжий,0
2026-01-13T14:33:21,Что такое шалал-рай для милых? (после удаления),unknown,1,1,knowledge_base/locations/шалал-рай для милых.md,шалал-рай для милых,0
2026-01-13T14:33:22,Как открыть вход в шалал-рай для милых? (после удаления),unknown,1,1,knowledge_base/locations/шалал-рай для милых.md,шалал-рай для милых,0
